"","APEXrun","RMSE","WA","HI","TOP","TBS","DMLA","DLAI","DLAP1","DLAP2","HMX","RDMX","FRST1","FRST2","WAVP","VPTH","PPLP1","PPLP2","BASAL"
"1",1,305.28,"16.75168","0.1434199","18.54088","8.389545","2.85525","0.6175097","3.712594","19.50112","0.2557789","1.115184","3.719303","13.75123","1.274673","1.390029","4.33852","71.742","24.50312"
"2",2,1162.11,"19.41059","0.1491239","19.27529","4.638922","3.578759","0.5750036","4.622007","22.87729","0.2909015","1.959392","4.635944","13.36623","1.498327","0.6732117","3.203474","58.68723","21.84758"
"3",3,396.51,"23.00968","0.2220907","25.99438","7.523967","3.701506","0.4729875","3.920098","21.64809","0.2376583","2.058256","5.078705","11.21213","1.360373","0.8233614","3.067025","96.81873","30.81193"
"4",4,191.55,"21.80211","0.1323719","19.99412","6.728255","2.845945","0.4925521","3.999454","25.07392","0.3270689","2.454226","5.316978","16.93036","1.453717","0.916989","4.486525","64.3453","37.90912"
"5",5,1119.06,"17.5157","0.1557636","17.69743","6.243019","3.767679","0.6957129","3.374375","29.4684","0.2593547","2.166334","4.835443","12.45576","1.58763","0.8489408","4.442886","106.1962","25.01845"
"6",6,265.72,"14.16575","0.146365","18.63463","7.660573","3.107357","0.3879996","6.10496","29.0801","0.205664","1.83107","3.879721","20.28676","1.700026","0.9529195","3.389138","75.97969","29.27145"
"7",7,773.34,"15.67573","0.1623925","28.03215","6.491577","3.06508","0.4191709","3.535905","31.04404","0.3079662","1.459996","3.817083","11.6981","2.431206","0.9059866","3.848254","81.12542","20.26573"
"8",8,2119.63,"22.375","0.1295849","23.25185","5.602957","2.64443","0.5093347","3.009907","20.62445","0.2220469","1.381786","4.428846","13.59475","1.665791","0.7264315","2.98901","90.54688","31.21044"
"9",9,1133.07,"24.27345","0.1272675","21.06494","5.268571","3.498251","0.6461611","5.858541","23.49429","0.2260535","1.762382","3.993975","12.49102","1.953132","0.7236235","4.692249","66.93401","27.6077"
"10",10,330.38,"20.93328","0.1858088","16.26928","8.838175","3.220896","0.6086685","4.449007","23.17666","0.2695424","1.748354","3.802167","13.95611","2.286111","0.6588119","3.7056","88.01127","26.6059"
"11",11,689.8,"19.26845","0.1223977","35.06279","6.582936","2.563954","0.5063586","4.30868","27.17521","0.1945186","2.111266","3.206456","12.71188","1.917693","0.8291738","3.921081","82.40534","26.25372"
"12",12,207.06,"28.20561","0.1578177","19.57388","6.908867","3.242912","0.4607107","4.979895","28.54509","0.2285663","1.629262","5.597926","10.80931","2.136454","1.197383","3.649636","74.66077","28.77316"
"13",13,1018.52,"25.31281","0.1168921","15.37519","5.39445","2.498767","0.5570671","3.594395","34.49069","0.2614762","1.543629","4.489025","16.48278","2.035022","0.8654647","3.479657","85.37271","30.23531"
"14",14,360.78,"22.27325","0.1137853","16.74602","7.432068","4.034828","0.5881646","3.863205","25.4974","0.2157648","1.658059","4.043709","12.98021","1.789524","0.9771849","2.528256","83.12377","22.5975"
"15",15,342.36,"23.46891","0.098978173","24.66779","10.90051","3.942916","0.5183896","4.775371","39.1584","0.2501085","1.361273","4.568931","14.85744","1.094597","0.5945917","3.982302","93.49171","26.90169"
"16",16,866.62,"20.65082","0.1459193","22.12916","8.24748","2.940276","0.7548878","5.202932","26.24536","0.2833253","1.704957","5.028172","13.15501","2.249301","0.7773031","3.570907","77.91206","35.53383"
"17",17,789.63,"27.30326","0.1243628","23.42591","7.052078","2.30027","0.5494875","4.803673","17.70364","0.2341315","1.616214","4.268382","15.6315","1.832206","0.8664127","3.448484","102.0752","21.52555"
"18",18,1438.75,"21.12445","0.139511","21.7871","6.649428","2.743602","0.7273315","5.544006","26.99065","0.245385","1.571503","5.332845","9.877467","1.747315","0.8009298","4.956175","111.5062","23.10849"
"19",19,192.28,"24.17752","0.1401826","20.04262","8.591926","2.085258","0.663186","3.802442","30.09512","0.2742067","1.914283","3.104819","10.08188","1.641992","0.7440221","3.146461","71.4157","33.78901"
"20",20,1066.62,"21.54675","0.1720751","22.87317","5.805165","2.771278","0.6027401","5.174475","35.35584","0.2949192","1.792026","3.526684","15.44358","1.424216","0.7647017","3.621299","78.86761","21.09954"
"21",21,1422.15,"17.80555","0.1354033","25.06259","6.998904","2.313331","0.9203769","4.212298","32.59204","0.2096604","1.896832","6.136799","14.94345","1.617752","1.081452","2.935648","73.07844","27.85214"
"22",22,259.62,"23.09221","0.130952","21.34839","7.34517","3.316274","0.527299","3.244541","28.32485","0.1734119","1.723412","4.765187","11.88694","1.778815","0.7919191","5.146473","52.07432","19.68907"
"23",23,2031.86,"30.77036","0.1683627","24.20859","6.330827","3.432326","0.6329048","4.480724","31.25105","0.2641939","1.307991","3.631261","11.41221","1.5373","1.013633","3.768661","68.93952","28.47103"
"24",24,1180.14,"18.59144","0.1357573","25.34258","5.959672","2.99383","0.6795862","5.322585","23.97821","0.339822","1.427059","4.404643","11.58337","1.551621","0.955879","2.793114","60.93578","25.89088"
"25",25,1910.01,"19.93377","0.1082284","26.6455","6.143805","4.340355","0.5680091","4.034718","25.79513","0.3667264","1.496497","4.165725","14.18828","2.100658","0.9997436","4.051811","84.62764","32.03394"
"26",26,2254.04,"29.16037","0.1537831","22.37611","7.808199","2.91121","0.5414973","4.257679","33.6397","0.3001517","1.98775","4.945372","18.02787","1.990475","0.9265488","2.69644","76.75193","17.4032"
"27",27,328.92,"26.38491","0.1181805","29.52584","9.403834","3.133329","0.6530194","4.104139","22.10897","0.2790416","2.383822","4.28882","14.64677","1.90108","0.890025","4.180273","69.32668","23.81695"
"28",28,827.03,"24.89366","0.120905","17.30514","7.239089","2.680388","0.4441173","4.646895","24.58747","0.3462843","1.85959","4.08292","12.17886","1.410842","1.041494","4.143166","95.58339","23.20922"
"29",29,862.26,"20.28605","0.095978268","20.38074","5.927225","3.363585","0.5861919","4.910857","27.89251","0.2426542","2.267825","3.38404","10.62026","1.870192","1.130955","3.343223","89.18898","25.28125"
"30",30,335.46,"18.20455","0.1090904","20.85581","7.99053","2.463915","0.4849073","4.381152","26.50621","0.313862","1.575084","5.797551","8.630304","1.726146","0.7070569","3.302244","64.02203","24.26682"
